
@RELATION cluster_type

@ATTRIBUTE text_ratio	REAL
@ATTRIBUTE tag_ratio 	REAL
@ATTRIBUTE max_weight 	REAL
@ATTRIBUTE num_big   	REAL
@ATTRIBUTE class 	{DOCUMENT,LINKS,INVALID}

@DATA

%10jqka.com.cn
0.0,0.0,0,0,INVALID
0.0,0.0,16,0,LINKS
0.5629405840886204,0.48623853211009177,253,3,DOCUMENT
0.0,0.0,0,0,INVALID
0.4169184290030212,0.5384615384615384,414,3,LINKS
1.0,1.0,21,0,DOCUMENT
0.870560643287916,0.6058823529411764,927,8,DOCUMENT
0.8523761375126391,0.8717948717948718,102,3,DOCUMENT
0.4637203166226913,0.6984126984126984,169,1,LINKS
1.0,1.0,336,1,DOCUMENT

%163.news.arff
1.0,1.0,2,0,DOCUMENT
0.7398972364949312,0.47072072072072074,356,11,DOCUMENT
0.943024494142705,0.6125,1899,5,DOCUMENT
0.7542695336695867,0.3828125,911,54,DOCUMENT
0.7401915638239086,0.3857965451055662,1492,45,DOCUMENT
0.9661138288986995,0.5932203389830508,7761,3,DOCUMENT
0.34782608695652173,0.375,266,4,LINKS
0.0,0.0,0,0,INVALID
0.9579973416038989,0.5769230769230769,3364,6,DOCUMENT
0.0,0.0,24,0,LINKS
0.3888888888888889,0.5161290322580645,48,0,LINKS
0.692391899288451,0.423728813559322,2807,1,DOCUMENT
0.07061440088963025,0.17307692307692307,391,1,LINKS
0.4375,0.6,39,0,LINKS
0.5411307934967241,0.3142857142857143,1095,3,DOCUMENT
0.909141428174493,0.5212765957446809,2707,2,DOCUMENT
0.4182478805006056,0.32608695652173914,364,4,LINKS
0.8140900195694716,0.6551724137931034,3060,3,DOCUMENT
0.3502325581395349,0.47058823529411764,1047,0,LINKS
0.8379358140526708,0.5494505494505495,3435,39,DOCUMENT
0.0,0.0,0,0,INVALID
0.24051138633639632,0.543859649122807,935,0,LINKS
0.6387096774193548,0.4722222222222222,52,1,DOCUMENT
0.3214222536706174,0.34,656,14,LINKS
0.3311092577147623,0.4074074074074074,349,0,LINKS
0.5175895590525807,0.4301994301994302,6734,10,DOCUMENT
0.7742345587456299,0.4251748251748252,1132,12,DOCUMENT
0.7277493446511047,0.4320652173913043,880,9,DOCUMENT
0.7531359243265474,0.45103092783505155,1136,15,DOCUMENT
0.039973013998988026,0.02850877192982456,185,1,LINKS
0.21201890614449695,0.42063492063492064,169,1,LINKS
0.8581363004172462,0.5680473372781065,1918,13,DOCUMENT
0.32589285714285715,0.2857142857142857,303,0,LINKS
0.9914298045502189,0.8709677419354839,4390,15,DOCUMENT
0.9840528350515464,0.76,3572,12,DOCUMENT
0.19573283858998144,0.3333333333333333,496,4,LINKS
0.1620361247947455,0.2943820224719101,1610,7,LINKS
1.0,1.0,15,0,DOCUMENT
0.36211031175059955,0.5,1060,0,LINKS
0.2460197119029568,0.3258426966292135,347,3,LINKS
0.8920392584514721,0.5526315789473685,1327,3,DOCUMENT
0.979358643568006,0.5,5234,1,DOCUMENT
0.566041581736649,0.30434782608695654,1115,9,DOCUMENT
0.0764163372859025,0.13333333333333333,364,2,LINKS

%21cn.com
0.21008859157476045,0.3868312757201646,978,11,LINKS
0.9972826086956522,0.7560975609756098,978,18,DOCUMENT
0.26258992805755393,0.46,214,3,LINKS
0.2091391408523019,0.29545454545454547,1760,1,LINKS
0.9946425272492149,0.9117647058823529,978,17,DOCUMENT
1.0,1.0,1007,6,DOCUMENT
0.4940793368857312,0.609375,978,7,LINKS
0.6607642124883504,0.47058823529411764,978,1,DOCUMENT

%baidu.baike
0.03910614525139665,0.07692307692307693,73,0,LINKS
0.16573033707865167,0.6,270,0,LINKS
0.6372745490981964,0.4444444444444444,198,2,DOCUMENT
0.7159434914228052,0.5188679245283019,112,9,DOCUMENT
0.39158576051779936,0.48148148148148145,222,0,LINKS
0.7548223350253808,0.5188679245283019,127,11,DOCUMENT
0.8758942457231726,0.6219512195121951,543,7,DOCUMENT
0.836963696369637,0.4,1266,7,DOCUMENT
0.9333608494990807,0.5681818181818182,5845,11,DOCUMENT
0.7466666666666667,0.5188679245283019,160,9,DOCUMENT
0.9801587301587301,0.9333333333333333,185,5,DOCUMENT
0.9702702702702702,0.6666666666666666,518,2,DOCUMENT
0.8042328042328042,0.6875,866,12,DOCUMENT
0.6797671033478894,0.7916666666666666,100,5,DOCUMENT
0.8261287223823247,0.7619047619047619,248,2,DOCUMENT
0.7310206133735545,0.5188679245283019,130,11,DOCUMENT
0.7129353233830846,0.5188679245283019,120,10,DOCUMENT
0.1037344398340249,0.2962962962962963,153,0,LINKS

%baidu.news
0.905608755129959,0.6486486486486487,174,7,DOCUMENT
0.2268967997123337,0.3958333333333333,601,2,LINKS
0.2399315459212778,0.43902439024390244,1341,0,LINKS
0.2159090909090909,0.4,393,0,LINKS
0.7837837837837838,0.4,77,1,DOCUMENT
0.8729535036018337,0.7222222222222222,545,4,DOCUMENT
0.8581196581196581,0.64,163,2,DOCUMENT
0.808816914080072,0.6,1365,2,DOCUMENT
0.9111617312072893,0.8333333333333334,165,1,DOCUMENT
0.1465551573078455,0.25,1600,7,LINKS
0.012315270935960592,0.18181818181818182,374,0,LINKS
0.6085790884718498,0.5833333333333334,750,4,DOCUMENT
0.23102310231023102,0.625,662,0,LINKS
0.8888888888888888,0.8333333333333334,12,0,DOCUMENT

%china.com.cn
1.0,1.0,346,2,DOCUMENT
0.9503676470588235,0.7142857142857143,232,4,DOCUMENT
0.9214175654853621,0.5714285714285714,791,3,DOCUMENT
0.8548833531039937,0.5535714285714286,497,4,DOCUMENT
0.04570970328789094,0.29411764705882354,1240,2,LINKS
0.8079877112135176,0.6521739130434783,131,3,DOCUMENT
0.8449399656946827,0.4666666666666667,1482,4,DOCUMENT
1.0,1.0,321,0,DOCUMENT
1.0,1.0,321,2,DOCUMENT
0.9769418573107876,0.8427947598253275,841,49,DOCUMENT
0.07285429141716566,0.625,913,0,LINKS
0.9895104895104895,0.8,819,2,DOCUMENT
0.9444444444444444,0.7777777777777778,131,1,DOCUMENT
0.3487704918032787,0.5,658,6,LINKS
0.9309512312892323,0.6818181818181818,1510,5,DOCUMENT
0.9631578947368421,0.9090909090909091,56,0,DOCUMENT
0.9536423841059603,0.9,56,0,DOCUMENT
0.041584158415841586,0.25,1182,2,LINKS
0.012531328320802004,0.6666666666666666,1182,0,LINKS
1.0,1.0,1347,2,DOCUMENT
0.05553398058252427,0.37777777777777777,719,3,LINKS
0.5094554568238778,0.625,373,22,DOCUMENT

%chinanews.com
0.12506805246226183,0.44054054054054054,1330,9,LINKS
0.7416030912513624,0.3939393939393939,716,10,DOCUMENT
0.2596766291033807,0.4307692307692308,465,7,LINKS
0.6176470588235294,0.5454545454545454,223,1,DOCUMENT
0.0,0.0,362,0,LINKS
0.0,0.0,0,0,INVALID
0.7075848303393214,0.5434782608695652,468,6,DOCUMENT
0.0,0.0,0,0,INVALID
0.4852941176470588,0.7777777777777778,117,1,LINKS
0.8297872340425532,0.6,130,1,DOCUMENT
0.47368421052631576,0.5526315789473685,193,3,LINKS
0.4148367952522255,0.5238095238095238,1513,1,LINKS
0.7810204870506378,0.7388535031847133,1411,45,DOCUMENT
